school,num_of_EAs
Ascension,1.5
Assumption,1.5
Bishop P. F. Reding,1.0
Canadian Martyrs,0.5
Christ the King,1.0
Corpus Christi,1.5
Guardian Angels,3.0
Holy Rosary (Burlington),1.0
Holy Rosary (Milton),1.5
Holy Trinity,1.5
Jean Vanier,1.5
Lumen Christi,1.0
Notre Dame,2.5
Our Lady of Fatima,1.5
Our Lady of Peace,0.5
Our Lady of Victory,1.5
"Our Lady of Victory, Structured Teaching",1.5
Pope John Paul II,1.5
Queen of Heaven,0.5
St. Andrew,3.5
St. Anne,1.5
St. Anthony of Padua,1.5
St. Benedict,1.5
St. Catherine of Alexandria,1.5
St. Dominic,1.0
St. Elizabeth Seton,2.0
St. Francis of Assisi,3.0
"St. Francis of Assisi, Structured Teaching Class",0.5
St. Gabriel,1.0
St. Gregory,2.5
St. Ignatius of Loyola,3.0
St. James,1.5
St. Joan of Arc,2.0
St. John (Burlington),1.5
St. John (Oakville),0.5
St. John (Oakville) Structured Teaching Class,1.0
St. Joseph (Acton),1.0
St. Joseph (Oakville),0.5
St. Luke,1.5
St. Marguerite d'Youville,0.5
St. Mary,1.5
St. Matthew,1.5
St. Patrick,1.0
St. Paul,0.5
St. Peter,4.5
St. Raphael,1.0
"St. Raphael, Structured Teaching 1",2.0
St. Thomas Aquinas,1.5
St. Timothy,1.0
St. Vincent,1.0
